Year,Institution_name,Institution code,Language,Province Name,Column name,Value
2022-2023,Université du Québec à Rimouski,476,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université du Québec à Rimouski,476,French, Quebec,03. Sponsored Research - Entities Consolidated,35252
2022-2023,Université du Québec à Rimouski,476,French, Quebec,02. Special Purpose and Trust,0
2022-2023,Université du Québec à Rimouski,476,French, Quebec,01. General operating,104485
2022-2023,Université du Québec à Montréal,473,French, Quebec,Total funds,625842
2022-2023,Université du Québec à Montréal,473,French, Quebec,08. Endowment,0
2022-2023,Université du Québec à Montréal,473,French, Quebec,07. Capital,35624
2022-2023,Université du Québec à Montréal,473,French, Quebec,06. Ancillary,15863
2022-2023,Université du Québec à Montréal,473,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université du Québec à Montréal,473,French, Quebec,03. Sponsored Research - Entities Consolidated,107645
2022-2023,Université du Québec à Montréal,473,French, Quebec,02. Special Purpose and Trust,0
2022-2023,Université du Québec à Montréal,473,French, Quebec,01. General operating,466710
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,Total funds,178076
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,08. Endowment,234
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,07. Capital,8828
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,06. Ancillary,774
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,03. Sponsored Research - Entities Consolidated,34762
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,02. Special Purpose and Trust,1205
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,01. General operating,132273
2022-2023,Université du Québec en Outaouais,471,French, Quebec,Total funds,134387
2022-2023,Université du Québec en Outaouais,471,French, Quebec,08. Endowment,0
2022-2023,Université du Québec en Outaouais,471,French, Quebec,07. Capital,6509
2022-2023,Université du Québec en Outaouais,471,French, Quebec,06. Ancillary,2752
2022-2023,Université du Québec en Outaouais,471,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université du Québec en Outaouais,471,French, Quebec,03. Sponsored Research - Entities Consolidated,14166
2022-2023,Université du Québec en Outaouais,471,French, Quebec,02. Special Purpose and Trust,7456
2022-2023,Université du Québec en Outaouais,471,French, Quebec,01. General operating,103504
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,Total funds,107144
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,08. Endowment,0
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,07. Capital,1601
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,06. Ancillary,185
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,03. Sponsored Research - Entities Consolidated,24731
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,02. Special Purpose and Trust,2478
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,01. General operating,78149
2022-2023,Université du Québec (siège social),479,French, Quebec,Total funds,77903
2022-2023,Université du Québec (siège social),479,French, Quebec,08. Endowment,0
2022-2023,Université du Québec (siège social),479,French, Quebec,07. Capital,33124
2022-2023,Université du Québec (siège social),479,French, Quebec,06. Ancillary,11405
2022-2023,Université du Québec (siège social),479,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université du Québec (siège social),479,French, Quebec,03. Sponsored Research - Entities Consolidated,0
2022-2023,Université du Québec (siège social),479,French, Quebec,02. Special Purpose and Trust,6367
2022-2023,Université du Québec (siège social),479,French, Quebec,01. General operating,27007
2022-2023,Université de l'Ontario français,507,French, Ontario,Total funds,20245
2022-2023,Université de l'Ontario français,507,French, Ontario,08. Endowment,0
2022-2023,Université de l'Ontario français,507,French, Ontario,07. Capital,200
2022-2023,Université de l'Ontario français,507,French, Ontario,06. Ancillary,0
2022-2023,Université de l'Ontario français,507,French, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université de l'Ontario français,507,French, Ontario,03. Sponsored Research - Entities Consolidated,41
2022-2023,Université de l'Ontario français,507,French, Ontario,02. Special Purpose and Trust,0
2022-2023,Université de l'Ontario français,507,French, Ontario,01. General operating,20004
2022-2023,Université de Sherbrooke,486,French, Quebec,Total funds,871477
2022-2023,Université de Sherbrooke,486,French, Quebec,08. Endowment,0
2022-2023,Université de Sherbrooke,486,French, Quebec,07. Capital,60315
2022-2023,Université de Sherbrooke,486,French, Quebec,06. Ancillary,17386
2022-2023,Université de Sherbrooke,486,French, Quebec,04. Sponsored Research - Entities Not Consolidated,23507
2022-2023,Université de Sherbrooke,486,French, Quebec,03. Sponsored Research - Entities Consolidated,216830
2022-2023,Université de Sherbrooke,486,French, Quebec,02. Special Purpose and Trust,81719
2022-2023,Université de Sherbrooke,486,French, Quebec,01. General operating,471720
2022-2023,Université de Saint-Boniface,652,French, Manitoba,Total funds,37611
2022-2023,Université de Saint-Boniface,652,French, Manitoba,08. Endowment,147
2022-2023,Université de Saint-Boniface,652,French, Manitoba,07. Capital,3242
2022-2023,Université de Saint-Boniface,652,French, Manitoba,06. Ancillary,0
2022-2023,Université de Saint-Boniface,652,French, Manitoba,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université de Saint-Boniface,652,French, Manitoba,03. Sponsored Research - Entities Consolidated,1038
2022-2023,Université de Saint-Boniface,652,French, Manitoba,02. Special Purpose and Trust,283
2022-2023,Université de Saint-Boniface,652,French, Manitoba,01. General operating,32901
2022-2023,Université de Montréal,460,French, Quebec,Total funds,1772181
2022-2023,Université de Montréal,460,French, Quebec,08. Endowment,12579
2022-2023,Université de Montréal,460,French, Quebec,07. Capital,196723
2022-2023,Université de Montréal,460,French, Quebec,06. Ancillary,26068
2022-2023,Université de Montréal,460,French, Quebec,04. Sponsored Research - Entities Not Consolidated,298605
2022-2023,Université de Montréal,460,French, Quebec,03. Sponsored Research - Entities Consolidated,264909
2022-2023,Université de Montréal,460,French, Quebec,02. Special Purpose and Trust,50036
2022-2023,Université de Montréal,460,French, Quebec,01. General operating,923261
2022-2023,Université de Moncton,334,French, New Brunswick,Total funds,191636
2022-2023,Université de Moncton,334,French, New Brunswick,08. Endowment,5906
2022-2023,Université de Moncton,334,French, New Brunswick,07. Capital,588
2022-2023,Université de Moncton,334,French, New Brunswick,06. Ancillary,9841
2022-2023,Université de Moncton,334,French, New Brunswick,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université de Moncton,334,French, New Brunswick,03. Sponsored Research - Entities Consolidated,13226
2022-2023,Université de Moncton,334,French, New Brunswick,02. Special Purpose and Trust,28193
2022-2023,Université de Moncton,334,French, New Brunswick,01. General operating,133882
2022-2023,Université TÉLUQ,492,French, Quebec,Total funds,75432
2022-2023,Université TÉLUQ,492,French, Quebec,08. Endowment,0
2022-2023,Université TÉLUQ,492,French, Quebec,07. Capital,1569
2022-2023,Université TÉLUQ,492,French, Quebec,06. Ancillary,28
2022-2023,Université TÉLUQ,492,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université TÉLUQ,492,French, Quebec,03. Sponsored Research - Entities Consolidated,7409
2022-2023,Université TÉLUQ,492,French, Quebec,02. Special Purpose and Trust,0
2022-2023,Université TÉLUQ,492,French, Quebec,01. General operating,66426
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,Total funds,28493
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,08. Endowment,394
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,07. Capital,1063
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,06. Ancillary,2740
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,03. Sponsored Research - Entities Consolidated,1501
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,02. Special Purpose and Trust,-17
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,01. General operating,22812
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,Total funds,25621
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,08. Endowment,167
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,07. Capital,2679
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,06. Ancillary,2261
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,03. Sponsored Research - Entities Consolidated,0
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,02. Special Purpose and Trust,1466
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,01. General operating,19048
2022-2023,Université Laval,446,French, Quebec,Total funds,1339568
2022-2023,Université Laval,446,French, Quebec,08. Endowment,-345
2022-2023,Université Laval,446,French, Quebec,07. Capital,77445
2022-2023,Université Laval,446,French, Quebec,06. Ancillary,18178
2022-2023,Université Laval,446,French, Quebec,04. Sponsored Research - Entities Not Consolidated,133347
2022-2023,Université Laval,446,French, Quebec,03. Sponsored Research - Entities Consolidated,338763
2022-2023,Université Laval,446,French, Quebec,02. Special Purpose and Trust,22028
