Year,Institution_name,Institution code,Language,Province Name,Column name,Value
2017-2018,Brock University,510,English, Ontario,08. Endowment,2974
2017-2018,Brock University,510,English, Ontario,07. Capital,16644
2017-2018,Brock University,510,English, Ontario,06. Ancillary,32273
2017-2018,Brock University,510,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,Brock University,510,English, Ontario,03. Sponsored Research - Entities Consolidated,15735
2017-2018,Brock University,510,English, Ontario,02. Special Purpose and Trust,1986
2017-2018,Brock University,510,English, Ontario,01. General operating,279133
2017-2018,Brescia University College,506,English, Ontario,Total funds,29453
2017-2018,Brescia University College,506,English, Ontario,08. Endowment,1188
2017-2018,Brescia University College,506,English, Ontario,07. Capital,279
2017-2018,Brescia University College,506,English, Ontario,06. Ancillary,5058
2017-2018,Brescia University College,506,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,Brescia University College,506,English, Ontario,03. Sponsored Research - Entities Consolidated,95
2017-2018,Brescia University College,506,English, Ontario,02. Special Purpose and Trust,0
2017-2018,Brescia University College,506,English, Ontario,01. General operating,22833
2017-2018,Brandon University,614,English, Manitoba,Total funds,65404
2017-2018,Brandon University,614,English, Manitoba,08. Endowment,0
2017-2018,Brandon University,614,English, Manitoba,07. Capital,663
2017-2018,Brandon University,614,English, Manitoba,06. Ancillary,4671
2017-2018,Brandon University,614,English, Manitoba,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,Brandon University,614,English, Manitoba,03. Sponsored Research - Entities Consolidated,3163
2017-2018,Brandon University,614,English, Manitoba,02. Special Purpose and Trust,3392
2017-2018,Brandon University,614,English, Manitoba,01. General operating,53515
2017-2018,Bishop's University / Université Bi,407,English, Quebec,Total funds,79855
2017-2018,Bishop's University / Université Bi,407,English, Quebec,08. Endowment,0
2017-2018,Bishop's University / Université Bi,407,English, Quebec,07. Capital,16632
2017-2018,Bishop's University / Université Bi,407,English, Quebec,06. Ancillary,11257
2017-2018,Bishop's University / Université Bi,407,English, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,Bishop's University / Université Bi,407,English, Quebec,03. Sponsored Research - Entities Consolidated,1670
2017-2018,Bishop's University / Université Bi,407,English, Quebec,02. Special Purpose and Trust,4771
2017-2018,Bishop's University / Université Bi,407,English, Quebec,01. General operating,45525
2017-2018,Atlantic School of Theology,223,English, Nova Scotia,Total funds,3044
2017-2018,Atlantic School of Theology,223,English, Nova Scotia,08. Endowment,0
2017-2018,Atlantic School of Theology,223,English, Nova Scotia,07. Capital,0
2017-2018,Atlantic School of Theology,223,English, Nova Scotia,06. Ancillary,0
2017-2018,Atlantic School of Theology,223,English, Nova Scotia,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,Atlantic School of Theology,223,English, Nova Scotia,03. Sponsored Research - Entities Consolidated,0
2017-2018,Atlantic School of Theology,223,English, Nova Scotia,02. Special Purpose and Trust,0
2017-2018,Atlantic School of Theology,223,English, Nova Scotia,01. General operating,3044
2017-2018,Athabasca University,810,English, Alberta,Total funds,140479
2017-2018,Athabasca University,810,English, Alberta,08. Endowment,150
2017-2018,Athabasca University,810,English, Alberta,07. Capital,0
2017-2018,Athabasca University,810,English, Alberta,06. Ancillary,8678
2017-2018,Athabasca University,810,English, Alberta,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,Athabasca University,810,English, Alberta,03. Sponsored Research - Entities Consolidated,2469
2017-2018,Athabasca University,810,English, Alberta,02. Special Purpose and Trust,6630
2017-2018,Athabasca University,810,English, Alberta,01. General operating,122552
2017-2018,Algoma University,505,English, Ontario,Total funds,32132
2017-2018,Algoma University,505,English, Ontario,08. Endowment,-144
2017-2018,Algoma University,505,English, Ontario,07. Capital,450
2017-2018,Algoma University,505,English, Ontario,06. Ancillary,1781
2017-2018,Algoma University,505,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,Algoma University,505,English, Ontario,03. Sponsored Research - Entities Consolidated,915
2017-2018,Algoma University,505,English, Ontario,02. Special Purpose and Trust,2441
2017-2018,Algoma University,505,English, Ontario,01. General operating,26689
2017-2018,Acadia University,221,English, Nova Scotia,Total funds,116395
2017-2018,Acadia University,221,English, Nova Scotia,08. Endowment,7396
2017-2018,Acadia University,221,English, Nova Scotia,07. Capital,11555
2017-2018,Acadia University,221,English, Nova Scotia,06. Ancillary,13828
2017-2018,Acadia University,221,English, Nova Scotia,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,Acadia University,221,English, Nova Scotia,03. Sponsored Research - Entities Consolidated,6381
2017-2018,Acadia University,221,English, Nova Scotia,02. Special Purpose and Trust,3865
2017-2018,Acadia University,221,English, Nova Scotia,01. General operating,73370
2017-2018,Acadia Divinity College,218,English, Nova Scotia,Total funds,2500
2017-2018,Acadia Divinity College,218,English, Nova Scotia,08. Endowment,471
2017-2018,Acadia Divinity College,218,English, Nova Scotia,07. Capital,0
2017-2018,Acadia Divinity College,218,English, Nova Scotia,06. Ancillary,0
2017-2018,Acadia Divinity College,218,English, Nova Scotia,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,Acadia Divinity College,218,English, Nova Scotia,03. Sponsored Research - Entities Consolidated,0
2017-2018,Acadia Divinity College,218,English, Nova Scotia,02. Special Purpose and Trust,5
2017-2018,Acadia Divinity College,218,English, Nova Scotia,01. General operating,2024
2017-2018,University of Saskatchewan,766,English, Saskatchewan,Total funds,970141
2017-2018,University of Saskatchewan,766,English, Saskatchewan,08. Endowment,-875
2017-2018,University of Saskatchewan,766,English, Saskatchewan,07. Capital,51175
2017-2018,University of Saskatchewan,766,English, Saskatchewan,06. Ancillary,58344
2017-2018,University of Saskatchewan,766,English, Saskatchewan,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,University of Saskatchewan,766,English, Saskatchewan,03. Sponsored Research - Entities Consolidated,175057
2017-2018,University of Saskatchewan,766,English, Saskatchewan,02. Special Purpose and Trust,147614
2017-2018,University of Saskatchewan,766,English, Saskatchewan,01. General operating,538826
2017-2018,St. Thomas More College,760,English, Saskatchewan,Total funds,15215
2017-2018,St. Thomas More College,760,English, Saskatchewan,08. Endowment,1445
2017-2018,St. Thomas More College,760,English, Saskatchewan,07. Capital,0
2017-2018,St. Thomas More College,760,English, Saskatchewan,06. Ancillary,486
2017-2018,St. Thomas More College,760,English, Saskatchewan,04. Sponsored Research - Entities Not Consolidated,0
2017-2018,St. Thomas More College,760,English, Saskatchewan,03. Sponsored Research - Entities Consolidated,0
2017-2018,St. Thomas More College,760,English, Saskatchewan,02. Special Purpose and Trust,140
2017-2018,St. Thomas More College,760,English, Saskatchewan,01. General operating,13144
2016-2017,École polytechnique de Montréal,434,French, Quebec,Total funds,224089
2016-2017,École polytechnique de Montréal,434,French, Quebec,08. Endowment,2008
2016-2017,École polytechnique de Montréal,434,French, Quebec,07. Capital,16326
2016-2017,École polytechnique de Montréal,434,French, Quebec,06. Ancillary,1460
2016-2017,École polytechnique de Montréal,434,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,École polytechnique de Montréal,434,French, Quebec,03. Sponsored Research - Entities Consolidated,74936
2016-2017,École polytechnique de Montréal,434,French, Quebec,02. Special Purpose and Trust,2389
2016-2017,École polytechnique de Montréal,434,French, Quebec,01. General operating,126970
2016-2017,École nationale d'administration pu,430,French, Quebec,Total funds,28830
2016-2017,École nationale d'administration pu,430,French, Quebec,08. Endowment,0
2016-2017,École nationale d'administration pu,430,French, Quebec,07. Capital,457
2016-2017,École nationale d'administration pu,430,French, Quebec,06. Ancillary,89
2016-2017,École nationale d'administration pu,430,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,École nationale d'administration pu,430,French, Quebec,03. Sponsored Research - Entities Consolidated,3301
2016-2017,École nationale d'administration pu,430,French, Quebec,02. Special Purpose and Trust,625
2016-2017,École nationale d'administration pu,430,French, Quebec,01. General operating,24358
2016-2017,École de technologie supérieure,438,French, Quebec,Total funds,196411
2016-2017,École de technologie supérieure,438,French, Quebec,08. Endowment,0
2016-2017,École de technologie supérieure,438,French, Quebec,07. Capital,10342
2016-2017,École de technologie supérieure,438,French, Quebec,06. Ancillary,13734
2016-2017,École de technologie supérieure,438,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,École de technologie supérieure,438,French, Quebec,03. Sponsored Research - Entities Consolidated,27610
2016-2017,École de technologie supérieure,438,French, Quebec,02. Special Purpose and Trust,6661
2016-2017,École de technologie supérieure,438,French, Quebec,01. General operating,138064
2016-2017,York University,598,English, Ontario,Total funds,1141885
2016-2017,York University,598,English, Ontario,08. Endowment,56322
2016-2017,York University,598,English, Ontario,07. Capital,174
2016-2017,York University,598,English, Ontario,06. Ancillary,65986
2016-2017,York University,598,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,York University,598,English, Ontario,03. Sponsored Research - Entities Consolidated,96030
2016-2017,York University,598,English, Ontario,02. Special Purpose and Trust,28265
2016-2017,York University,598,English, Ontario,01. General operating,895108
2016-2017,Wilfrid Laurier University,594,English, Ontario,Total funds,420741
2016-2017,Wilfrid Laurier University,594,English, Ontario,08. Endowment,5199
2016-2017,Wilfrid Laurier University,594,English, Ontario,07. Capital,30876
2016-2017,Wilfrid Laurier University,594,English, Ontario,06. Ancillary,51178
2016-2017,Wilfrid Laurier University,594,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Wilfrid Laurier University,594,English, Ontario,03. Sponsored Research - Entities Consolidated,17738
2016-2017,Wilfrid Laurier University,594,English, Ontario,02. Special Purpose and Trust,18384
2016-2017,Wilfrid Laurier University,594,English, Ontario,01. General operating,297366
2016-2017,Western University,592,English, Ontario,Total funds,1397675
2016-2017,Western University,592,English, Ontario,08. Endowment,72296
2016-2017,Western University,592,English, Ontario,07. Capital,31102
2016-2017,Western University,592,English, Ontario,06. Ancillary,145709
2016-2017,Western University,592,English, Ontario,04. Sponsored Research - Entities Not Consolidated,49483
2016-2017,Western University,592,English, Ontario,03. Sponsored Research - Entities Consolidated,200070
2016-2017,Western University,592,English, Ontario,02. Special Purpose and Trust,125198
2016-2017,Western University,592,English, Ontario,01. General operating,773817
2016-2017,Victoria University,588,English, Ontario,Total funds,66140
2016-2017,Victoria University,588,English, Ontario,08. Endowment,31807
2016-2017,Victoria University,588,English, Ontario,07. Capital,614
2016-2017,Victoria University,588,English, Ontario,06. Ancillary,22328
2016-2017,Victoria University,588,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Victoria University,588,English, Ontario,03. Sponsored Research - Entities Consolidated,43
2016-2017,Victoria University,588,English, Ontario,02. Special Purpose and Trust,1787
2016-2017,Victoria University,588,English, Ontario,01. General operating,9561
2016-2017,Vancouver Island University,980,English, British Columbia,Total funds,146877
2016-2017,Vancouver Island University,980,English, British Columbia,08. Endowment,392
2016-2017,Vancouver Island University,980,English, British Columbia,07. Capital,8861
2016-2017,Vancouver Island University,980,English, British Columbia,06. Ancillary,8871
2016-2017,Vancouver Island University,980,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Vancouver Island University,980,English, British Columbia,03. Sponsored Research - Entities Consolidated,1749
2016-2017,Vancouver Island University,980,English, British Columbia,02. Special Purpose and Trust,5385
2016-2017,Vancouver Island University,980,English, British Columbia,01. General operating,121619
2016-2017,Université du Québec à Trois-Rivièr,482,French, Quebec,Total funds,186918
2016-2017,Université du Québec à Trois-Rivièr,482,French, Quebec,08. Endowment,13
2016-2017,Université du Québec à Trois-Rivièr,482,French, Quebec,07. Capital,8211
2016-2017,Université du Québec à Trois-Rivièr,482,French, Quebec,06. Ancillary,2764
2016-2017,Université du Québec à Trois-Rivièr,482,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université du Québec à Trois-Rivièr,482,French, Quebec,03. Sponsored Research - Entities Consolidated,19988
2016-2017,Université du Québec à Trois-Rivièr,482,French, Quebec,02. Special Purpose and Trust,0
2016-2017,Université du Québec à Trois-Rivièr,482,French, Quebec,01. General operating,155942
2016-2017,Université du Québec à Rimouski,476,French, Quebec,Total funds,98661
2016-2017,Université du Québec à Rimouski,476,French, Quebec,08. Endowment,0
2016-2017,Université du Québec à Rimouski,476,French, Quebec,07. Capital,3745
2016-2017,Université du Québec à Rimouski,476,French, Quebec,06. Ancillary,1165
2016-2017,Université du Québec à Rimouski,476,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université du Québec à Rimouski,476,French, Quebec,03. Sponsored Research - Entities Consolidated,20581
2016-2017,Université du Québec à Rimouski,476,French, Quebec,02. Special Purpose and Trust,0
2016-2017,Université du Québec à Rimouski,476,French, Quebec,01. General operating,73170
2016-2017,Université du Québec à Montréal,473,French, Quebec,Total funds,511138
2016-2017,Université du Québec à Montréal,473,French, Quebec,08. Endowment,0
2016-2017,Université du Québec à Montréal,473,French, Quebec,07. Capital,26382
2016-2017,Université du Québec à Montréal,473,French, Quebec,06. Ancillary,15394
2016-2017,Université du Québec à Montréal,473,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université du Québec à Montréal,473,French, Quebec,03. Sponsored Research - Entities Consolidated,67790
2016-2017,Université du Québec à Montréal,473,French, Quebec,02. Special Purpose and Trust,0
2016-2017,Université du Québec à Montréal,473,French, Quebec,01. General operating,401572
2016-2017,Université du Québec à Chicoutimi,470,French, Quebec,Total funds,124544
2016-2017,Université du Québec à Chicoutimi,470,French, Quebec,08. Endowment,451
2016-2017,Université du Québec à Chicoutimi,470,French, Quebec,07. Capital,5443
2016-2017,Université du Québec à Chicoutimi,470,French, Quebec,06. Ancillary,960
2016-2017,Université du Québec à Chicoutimi,470,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université du Québec à Chicoutimi,470,French, Quebec,03. Sponsored Research - Entities Consolidated,24945
2016-2017,Université du Québec à Chicoutimi,470,French, Quebec,02. Special Purpose and Trust,2618
2016-2017,Université du Québec à Chicoutimi,470,French, Quebec,01. General operating,90127
2016-2017,Université du Québec en Outaouais,471,French, Quebec,Total funds,97363
2016-2017,Université du Québec en Outaouais,471,French, Quebec,08. Endowment,0
2016-2017,Université du Québec en Outaouais,471,French, Quebec,07. Capital,4028
2016-2017,Université du Québec en Outaouais,471,French, Quebec,06. Ancillary,2581
2016-2017,Université du Québec en Outaouais,471,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université du Québec en Outaouais,471,French, Quebec,03. Sponsored Research - Entities Consolidated,7095
2016-2017,Université du Québec en Outaouais,471,French, Quebec,02. Special Purpose and Trust,1030
2016-2017,Université du Québec en Outaouais,471,French, Quebec,01. General operating,82629
2016-2017,Université du Québec en Abitibi-Tém,465,French, Quebec,Total funds,67322
2016-2017,Université du Québec en Abitibi-Tém,465,French, Quebec,08. Endowment,1598
2016-2017,Université du Québec en Abitibi-Tém,465,French, Quebec,07. Capital,2271
2016-2017,Université du Québec en Abitibi-Tém,465,French, Quebec,06. Ancillary,154
2016-2017,Université du Québec en Abitibi-Tém,465,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université du Québec en Abitibi-Tém,465,French, Quebec,03. Sponsored Research - Entities Consolidated,16153
2016-2017,Université du Québec en Abitibi-Tém,465,French, Quebec,02. Special Purpose and Trust,882
2016-2017,Université du Québec en Abitibi-Tém,465,French, Quebec,01. General operating,46264
2016-2017,Université du Québec (siège social),479,French, Quebec,Total funds,64708
2016-2017,Université du Québec (siège social),479,French, Quebec,08. Endowment,0
2016-2017,Université du Québec (siège social),479,French, Quebec,07. Capital,30401
2016-2017,Université du Québec (siège social),479,French, Quebec,06. Ancillary,10653
2016-2017,Université du Québec (siège social),479,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université du Québec (siège social),479,French, Quebec,03. Sponsored Research - Entities Consolidated,506
2016-2017,Université du Québec (siège social),479,French, Quebec,02. Special Purpose and Trust,0
2016-2017,Université du Québec (siège social),479,French, Quebec,01. General operating,23148
2016-2017,Université de Sudbury / University,577,English, Ontario,Total funds,9210
2016-2017,Université de Sudbury / University,577,English, Ontario,08. Endowment,6
2016-2017,Université de Sudbury / University,577,English, Ontario,07. Capital,331
2016-2017,Université de Sudbury / University,577,English, Ontario,06. Ancillary,1139
2016-2017,Université de Sudbury / University,577,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université de Sudbury / University,577,English, Ontario,03. Sponsored Research - Entities Consolidated,44
2016-2017,Université de Sudbury / University,577,English, Ontario,02. Special Purpose and Trust,2749
2016-2017,Université de Sudbury / University,577,English, Ontario,01. General operating,4941
2016-2017,Université de Sherbrooke,486,French, Quebec,Total funds,571225
2016-2017,Université de Sherbrooke,486,French, Quebec,08. Endowment,0
2016-2017,Université de Sherbrooke,486,French, Quebec,07. Capital,23051
2016-2017,Université de Sherbrooke,486,French, Quebec,06. Ancillary,14484
2016-2017,Université de Sherbrooke,486,French, Quebec,04. Sponsored Research - Entities Not Consolidated,18657
2016-2017,Université de Sherbrooke,486,French, Quebec,03. Sponsored Research - Entities Consolidated,113798
2016-2017,Université de Sherbrooke,486,French, Quebec,02. Special Purpose and Trust,45824
2016-2017,Université de Sherbrooke,486,French, Quebec,01. General operating,355411
2016-2017,Université de Saint-Boniface,652,French, Manitoba,Total funds,33772
2016-2017,Université de Saint-Boniface,652,French, Manitoba,08. Endowment,1169
2016-2017,Université de Saint-Boniface,652,French, Manitoba,07. Capital,357
2016-2017,Université de Saint-Boniface,652,French, Manitoba,06. Ancillary,0
2016-2017,Université de Saint-Boniface,652,French, Manitoba,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université de Saint-Boniface,652,French, Manitoba,03. Sponsored Research - Entities Consolidated,598
2016-2017,Université de Saint-Boniface,652,French, Manitoba,02. Special Purpose and Trust,531
2016-2017,Université de Saint-Boniface,652,French, Manitoba,01. General operating,31117
2016-2017,Université de Montréal,460,French, Quebec,Total funds,1395279
2016-2017,Université de Montréal,460,French, Quebec,08. Endowment,21064
2016-2017,Université de Montréal,460,French, Quebec,07. Capital,141608
2016-2017,Université de Montréal,460,French, Quebec,06. Ancillary,29403
2016-2017,Université de Montréal,460,French, Quebec,04. Sponsored Research - Entities Not Consolidated,226156
2016-2017,Université de Montréal,460,French, Quebec,03. Sponsored Research - Entities Consolidated,219940
2016-2017,Université de Montréal,460,French, Quebec,02. Special Purpose and Trust,34651
2016-2017,Université de Montréal,460,French, Quebec,01. General operating,722457
2016-2017,Université de Moncton,334,French, New Brunswick,Total funds,159720
2016-2017,Université de Moncton,334,French, New Brunswick,08. Endowment,1478
2016-2017,Université de Moncton,334,French, New Brunswick,07. Capital,5389
2016-2017,Université de Moncton,334,French, New Brunswick,06. Ancillary,8503
2016-2017,Université de Moncton,334,French, New Brunswick,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université de Moncton,334,French, New Brunswick,03. Sponsored Research - Entities Consolidated,11952
2016-2017,Université de Moncton,334,French, New Brunswick,02. Special Purpose and Trust,27541
2016-2017,Université de Moncton,334,French, New Brunswick,01. General operating,104857
2016-2017,Université de Hearst,523,French, Ontario,Total funds,7122
2016-2017,Université de Hearst,523,French, Ontario,08. Endowment,0
2016-2017,Université de Hearst,523,French, Ontario,07. Capital,363
2016-2017,Université de Hearst,523,French, Ontario,06. Ancillary,119
2016-2017,Université de Hearst,523,French, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université de Hearst,523,French, Ontario,03. Sponsored Research - Entities Consolidated,0
2016-2017,Université de Hearst,523,French, Ontario,02. Special Purpose and Trust,220
2016-2017,Université de Hearst,523,French, Ontario,01. General operating,6420
2016-2017,Université TÉLUQ,492,French, Quebec,Total funds,53536
2016-2017,Université TÉLUQ,492,French, Quebec,08. Endowment,0
2016-2017,Université TÉLUQ,492,French, Quebec,07. Capital,1047
2016-2017,Université TÉLUQ,492,French, Quebec,06. Ancillary,170
2016-2017,Université TÉLUQ,492,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université TÉLUQ,492,French, Quebec,03. Sponsored Research - Entities Consolidated,3480
2016-2017,Université TÉLUQ,492,French, Quebec,02. Special Purpose and Trust,0
2016-2017,Université TÉLUQ,492,French, Quebec,01. General operating,48839
2016-2017,Université Sainte-Anne,272,French, Nova Scotia,Total funds,20888
2016-2017,Université Sainte-Anne,272,French, Nova Scotia,08. Endowment,54
2016-2017,Université Sainte-Anne,272,French, Nova Scotia,07. Capital,822
2016-2017,Université Sainte-Anne,272,French, Nova Scotia,06. Ancillary,2831
2016-2017,Université Sainte-Anne,272,French, Nova Scotia,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université Sainte-Anne,272,French, Nova Scotia,03. Sponsored Research - Entities Consolidated,427
2016-2017,Université Sainte-Anne,272,French, Nova Scotia,02. Special Purpose and Trust,160
2016-2017,Université Sainte-Anne,272,French, Nova Scotia,01. General operating,16594
2016-2017,Université Saint-Paul / Saint Paul,571,French, Ontario,Total funds,22754
2016-2017,Université Saint-Paul / Saint Paul,571,French, Ontario,08. Endowment,213
2016-2017,Université Saint-Paul / Saint Paul,571,French, Ontario,07. Capital,329
2016-2017,Université Saint-Paul / Saint Paul,571,French, Ontario,06. Ancillary,2484
2016-2017,Université Saint-Paul / Saint Paul,571,French, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,Université Saint-Paul / Saint Paul,571,French, Ontario,03. Sponsored Research - Entities Consolidated,52
2016-2017,Université Saint-Paul / Saint Paul,571,French, Ontario,02. Special Purpose and Trust,2152
2016-2017,Université Saint-Paul / Saint Paul,571,French, Ontario,01. General operating,17524
2016-2017,Université Laval,446,French, Quebec,Total funds,1030816
2016-2017,Université Laval,446,French, Quebec,08. Endowment,3471
2016-2017,Université Laval,446,French, Quebec,07. Capital,60823
2016-2017,Université Laval,446,French, Quebec,06. Ancillary,19127
2016-2017,Université Laval,446,French, Quebec,04. Sponsored Research - Entities Not Consolidated,107014
2016-2017,Université Laval,446,French, Quebec,03. Sponsored Research - Entities Consolidated,249661
2016-2017,Université Laval,446,French, Quebec,02. Special Purpose and Trust,9680
2016-2017,Université Laval,446,French, Quebec,01. General operating,581040
2016-2017,University of the Fraser Valley,982,English, British Columbia,Total funds,125477
2016-2017,University of the Fraser Valley,982,English, British Columbia,08. Endowment,407
2016-2017,University of the Fraser Valley,982,English, British Columbia,07. Capital,3774
2016-2017,University of the Fraser Valley,982,English, British Columbia,06. Ancillary,6992
2016-2017,University of the Fraser Valley,982,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,University of the Fraser Valley,982,English, British Columbia,03. Sponsored Research - Entities Consolidated,1381
2016-2017,University of the Fraser Valley,982,English, British Columbia,02. Special Purpose and Trust,3267
2016-2017,University of the Fraser Valley,982,English, British Columbia,01. General operating,109656
2016-2017,University of Windsor,596,English, Ontario,Total funds,354796
2016-2017,University of Windsor,596,English, Ontario,08. Endowment,10524
2016-2017,University of Windsor,596,English, Ontario,07. Capital,6969
2016-2017,University of Windsor,596,English, Ontario,06. Ancillary,18952
2016-2017,University of Windsor,596,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,University of Windsor,596,English, Ontario,03. Sponsored Research - Entities Consolidated,26198
2016-2017,University of Windsor,596,English, Ontario,02. Special Purpose and Trust,15665
2016-2017,University of Windsor,596,English, Ontario,01. General operating,276488
2016-2017,University of Waterloo,590,English, Ontario,Total funds,1085045
2016-2017,University of Waterloo,590,English, Ontario,08. Endowment,32581
2016-2017,University of Waterloo,590,English, Ontario,07. Capital,33115
2016-2017,University of Waterloo,590,English, Ontario,06. Ancillary,79660
2016-2017,University of Waterloo,590,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,University of Waterloo,590,English, Ontario,03. Sponsored Research - Entities Consolidated,189269
2016-2017,University of Waterloo,590,English, Ontario,02. Special Purpose and Trust,33162
2016-2017,University of Waterloo,590,English, Ontario,01. General operating,717258
2016-2017,University of Victoria,986,English, British Columbia,Total funds,618623
2016-2017,University of Victoria,986,English, British Columbia,08. Endowment,9820
2016-2017,University of Victoria,986,English, British Columbia,07. Capital,28812
2016-2017,University of Victoria,986,English, British Columbia,06. Ancillary,50962
2016-2017,University of Victoria,986,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,University of Victoria,986,English, British Columbia,03. Sponsored Research - Entities Consolidated,114922
2016-2017,University of Victoria,986,English, British Columbia,02. Special Purpose and Trust,61673
2016-2017,University of Victoria,986,English, British Columbia,01. General operating,352434
2016-2017,University of Trinity College,585,English, Ontario,Total funds,31290
2016-2017,University of Trinity College,585,English, Ontario,08. Endowment,5626
2016-2017,University of Trinity College,585,English, Ontario,07. Capital,301
2016-2017,University of Trinity College,585,English, Ontario,06. Ancillary,8228
2016-2017,University of Trinity College,585,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,University of Trinity College,585,English, Ontario,03. Sponsored Research - Entities Consolidated,0
2016-2017,University of Trinity College,585,English, Ontario,02. Special Purpose and Trust,4623
2016-2017,University of Trinity College,585,English, Ontario,01. General operating,12512
2016-2017,University of Toronto,581,English, Ontario,Total funds,4203529
2016-2017,University of Toronto,581,English, Ontario,08. Endowment,274528
2016-2017,University of Toronto,581,English, Ontario,07. Capital,90366
2016-2017,University of Toronto,581,English, Ontario,06. Ancillary,198744
2016-2017,University of Toronto,581,English, Ontario,04. Sponsored Research - Entities Not Consolidated,695332
2016-2017,University of Toronto,581,English, Ontario,03. Sponsored Research - Entities Consolidated,452209
2016-2017,University of Toronto,581,English, Ontario,02. Special Purpose and Trust,151933
2016-2017,University of Toronto,581,English, Ontario,01. General operating,2340417
2016-2017,University of St. Michael's College,569,English, Ontario,Total funds,36147
2016-2017,University of St. Michael's College,569,English, Ontario,08. Endowment,9541
2016-2017,University of St. Michael's College,569,English, Ontario,07. Capital,183
2016-2017,University of St. Michael's College,569,English, Ontario,06. Ancillary,9446
2016-2017,University of St. Michael's College,569,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,University of St. Michael's College,569,English, Ontario,03. Sponsored Research - Entities Consolidated,0
2016-2017,University of St. Michael's College,569,English, Ontario,02. Special Purpose and Trust,2984
2016-2017,University of St. Michael's College,569,English, Ontario,01. General operating,13993
2016-2017,University of Regina,752,English, Saskatchewan,Total funds,308326
2016-2017,University of Regina,752,English, Saskatchewan,08. Endowment,5037
2016-2017,University of Regina,752,English, Saskatchewan,07. Capital,34157
2016-2017,University of Regina,752,English, Saskatchewan,06. Ancillary,17934
2016-2017,University of Regina,752,English, Saskatchewan,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,University of Regina,752,English, Saskatchewan,03. Sponsored Research - Entities Consolidated,15429
2016-2017,University of Regina,752,English, Saskatchewan,02. Special Purpose and Trust,25172
2016-2017,University of Regina,752,English, Saskatchewan,01. General operating,210597
2016-2017,University of Prince Edward Island,184,English, Prince Edward Island,Total funds,144482
2016-2017,University of Prince Edward Island,184,English, Prince Edward Island,08. Endowment,1443
2016-2017,University of Prince Edward Island,184,English, Prince Edward Island,07. Capital,5418
2016-2017,University of Prince Edward Island,184,English, Prince Edward Island,06. Ancillary,8450
2016-2017,University of Prince Edward Island,184,English, Prince Edward Island,04. Sponsored Research - Entities Not Consolidated,0
2016-2017,University of Prince Edward Island,184,English, Prince Edward Island,03. Sponsored Research - Entities Consolidated,12867
2016-2017,University of Prince Edward Island,184,English, Prince Edward Island,02. Special Purpose and Trust,3196
2016-2017,University of Prince Edward Island,184,English, Prince Edward Island,01. General operating,113108
2016-2017,University of Ottawa / Université d,555,English, Ontario,Total funds,1305442
2016-2017,University of Ottawa / Université d,555,English, Ontario,08. Endowment,27403
