Year,Institution_name,Institution code,Language,Province Name,Column name,Value,,,,,,,,,,
2017-2018,Vancouver Island University,980,English, British Columbia,07. Capital,43795,,,,,,,,,,
2017-2018,Vancouver Island University,980,English, British Columbia,06. Ancillary,8223,,,,,,,,,,
2017-2018,Vancouver Island University,980,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Vancouver Island University,980,English, British Columbia,03. Sponsored Research - Entities Consolidated,1066,,,,,,,,,,
2017-2018,Vancouver Island University,980,English, British Columbia,02. Special Purpose and Trust,7587,,,,,,,,,,
2017-2018,Vancouver Island University,980,English, British Columbia,01. General operating,120734,,,,,,,,,,
2017-2018,Université du Québec à Trois-Rivièr,482,French, Quebec,Total funds,206282,,,,,,,,,,
2017-2018,Université du Québec à Trois-Rivièr,482,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université du Québec à Trois-Rivièr,482,French, Quebec,07. Capital,13096,,,,,,,,,,
2017-2018,Université du Québec à Trois-Rivièr,482,French, Quebec,06. Ancillary,2402,,,,,,,,,,
2017-2018,Université du Québec à Trois-Rivièr,482,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université du Québec à Trois-Rivièr,482,French, Quebec,03. Sponsored Research - Entities Consolidated,19332,,,,,,,,,,
2017-2018,Université du Québec à Trois-Rivièr,482,French, Quebec,02. Special Purpose and Trust,0,,,,,,,,,,
2017-2018,Université du Québec à Trois-Rivièr,482,French, Quebec,01. General operating,171452,,,,,,,,,,
2017-2018,Université du Québec à Rimouski,476,French, Quebec,Total funds,109809,,,,,,,,,,
2017-2018,Université du Québec à Rimouski,476,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université du Québec à Rimouski,476,French, Quebec,07. Capital,10437,,,,,,,,,,
2017-2018,Université du Québec à Rimouski,476,French, Quebec,06. Ancillary,732,,,,,,,,,,
2017-2018,Université du Québec à Rimouski,476,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université du Québec à Rimouski,476,French, Quebec,03. Sponsored Research - Entities Consolidated,21527,,,,,,,,,,
2017-2018,Université du Québec à Rimouski,476,French, Quebec,02. Special Purpose and Trust,0,,,,,,,,,,
2017-2018,Université du Québec à Rimouski,476,French, Quebec,01. General operating,77113,,,,,,,,,,
2017-2018,Université du Québec à Montréal,473,French, Quebec,Total funds,494287,,,,,,,,,,
2017-2018,Université du Québec à Montréal,473,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université du Québec à Montréal,473,French, Quebec,07. Capital,15809,,,,,,,,,,
2017-2018,Université du Québec à Montréal,473,French, Quebec,06. Ancillary,10572,,,,,,,,,,
2017-2018,Université du Québec à Montréal,473,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université du Québec à Montréal,473,French, Quebec,03. Sponsored Research - Entities Consolidated,76664,,,,,,,,,,
2017-2018,Université du Québec à Montréal,473,French, Quebec,02. Special Purpose and Trust,0,,,,,,,,,,
2017-2018,Université du Québec à Montréal,473,French, Quebec,01. General operating,391242,,,,,,,,,,
2017-2018,Université du Québec à Chicoutimi,470,French, Quebec,Total funds,129550,,,,,,,,,,
2017-2018,Université du Québec à Chicoutimi,470,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université du Québec à Chicoutimi,470,French, Quebec,07. Capital,8508,,,,,,,,,,
2017-2018,Université du Québec à Chicoutimi,470,French, Quebec,06. Ancillary,577,,,,,,,,,,
2017-2018,Université du Québec à Chicoutimi,470,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université du Québec à Chicoutimi,470,French, Quebec,03. Sponsored Research - Entities Consolidated,19862,,,,,,,,,,
2017-2018,Université du Québec à Chicoutimi,470,French, Quebec,02. Special Purpose and Trust,1022,,,,,,,,,,
2017-2018,Université du Québec à Chicoutimi,470,French, Quebec,01. General operating,99581,,,,,,,,,,
2017-2018,Université du Québec en Outaouais,471,French, Quebec,Total funds,96517,,,,,,,,,,
2017-2018,Université du Québec en Outaouais,471,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université du Québec en Outaouais,471,French, Quebec,07. Capital,2206,,,,,,,,,,
2017-2018,Université du Québec en Outaouais,471,French, Quebec,06. Ancillary,1357,,,,,,,,,,
2017-2018,Université du Québec en Outaouais,471,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université du Québec en Outaouais,471,French, Quebec,03. Sponsored Research - Entities Consolidated,7322,,,,,,,,,,
2017-2018,Université du Québec en Outaouais,471,French, Quebec,02. Special Purpose and Trust,1505,,,,,,,,,,
2017-2018,Université du Québec en Outaouais,471,French, Quebec,01. General operating,84127,,,,,,,,,,
2017-2018,Université du Québec en Abitibi-Tém,465,French, Quebec,Total funds,70290,,,,,,,,,,
2017-2018,Université du Québec en Abitibi-Tém,465,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université du Québec en Abitibi-Tém,465,French, Quebec,07. Capital,6938,,,,,,,,,,
2017-2018,Université du Québec en Abitibi-Tém,465,French, Quebec,06. Ancillary,192,,,,,,,,,,
2017-2018,Université du Québec en Abitibi-Tém,465,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université du Québec en Abitibi-Tém,465,French, Quebec,03. Sponsored Research - Entities Consolidated,18054,,,,,,,,,,
2017-2018,Université du Québec en Abitibi-Tém,465,French, Quebec,02. Special Purpose and Trust,560,,,,,,,,,,
2017-2018,Université du Québec en Abitibi-Tém,465,French, Quebec,01. General operating,44546,,,,,,,,,,
2017-2018,Université du Québec (siège social),479,French, Quebec,Total funds,59412,,,,,,,,,,
2017-2018,Université du Québec (siège social),479,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université du Québec (siège social),479,French, Quebec,07. Capital,29064,,,,,,,,,,
2017-2018,Université du Québec (siège social),479,French, Quebec,06. Ancillary,7453,,,,,,,,,,
2017-2018,Université du Québec (siège social),479,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université du Québec (siège social),479,French, Quebec,03. Sponsored Research - Entities Consolidated,166,,,,,,,,,,
2017-2018,Université du Québec (siège social),479,French, Quebec,02. Special Purpose and Trust,0,,,,,,,,,,
2017-2018,Université du Québec (siège social),479,French, Quebec,01. General operating,22729,,,,,,,,,,
2017-2018,Université de Sudbury / University,577,English, Ontario,Total funds,7417,,,,,,,,,,
2017-2018,Université de Sudbury / University,577,English, Ontario,08. Endowment,0,,,,,,,,,,
2017-2018,Université de Sudbury / University,577,English, Ontario,07. Capital,632,,,,,,,,,,
2017-2018,Université de Sudbury / University,577,English, Ontario,06. Ancillary,810,,,,,,,,,,
2017-2018,Université de Sudbury / University,577,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université de Sudbury / University,577,English, Ontario,03. Sponsored Research - Entities Consolidated,15,,,,,,,,,,
2017-2018,Université de Sudbury / University,577,English, Ontario,02. Special Purpose and Trust,330,,,,,,,,,,
2017-2018,Université de Sudbury / University,577,English, Ontario,01. General operating,5630,,,,,,,,,,
2017-2018,Université de Sherbrooke,486,French, Quebec,Total funds,606321,,,,,,,,,,
2017-2018,Université de Sherbrooke,486,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université de Sherbrooke,486,French, Quebec,07. Capital,44515,,,,,,,,,,
2017-2018,Université de Sherbrooke,486,French, Quebec,06. Ancillary,14259,,,,,,,,,,
2017-2018,Université de Sherbrooke,486,French, Quebec,04. Sponsored Research - Entities Not Consolidated,17636,,,,,,,,,,
2017-2018,Université de Sherbrooke,486,French, Quebec,03. Sponsored Research - Entities Consolidated,116203,,,,,,,,,,
2017-2018,Université de Sherbrooke,486,French, Quebec,02. Special Purpose and Trust,48043,,,,,,,,,,
2017-2018,Université de Sherbrooke,486,French, Quebec,01. General operating,365665,,,,,,,,,,
2017-2018,Université de Saint-Boniface,652,French, Manitoba,Total funds,31127,,,,,,,,,,
2017-2018,Université de Saint-Boniface,652,French, Manitoba,08. Endowment,0,,,,,,,,,,
2017-2018,Université de Saint-Boniface,652,French, Manitoba,07. Capital,1725,,,,,,,,,,
2017-2018,Université de Saint-Boniface,652,French, Manitoba,06. Ancillary,0,,,,,,,,,,
2017-2018,Université de Saint-Boniface,652,French, Manitoba,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université de Saint-Boniface,652,French, Manitoba,03. Sponsored Research - Entities Consolidated,738,,,,,,,,,,
2017-2018,Université de Saint-Boniface,652,French, Manitoba,02. Special Purpose and Trust,184,,,,,,,,,,
2017-2018,Université de Saint-Boniface,652,French, Manitoba,01. General operating,28480,,,,,,,,,,
2017-2018,Université de Montréal,460,French, Quebec,Total funds,1403519,,,,,,,,,,
2017-2018,Université de Montréal,460,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université de Montréal,460,French, Quebec,07. Capital,185161,,,,,,,,,,
2017-2018,Université de Montréal,460,French, Quebec,06. Ancillary,26073,,,,,,,,,,
2017-2018,Université de Montréal,460,French, Quebec,04. Sponsored Research - Entities Not Consolidated,235398,,,,,,,,,,
2017-2018,Université de Montréal,460,French, Quebec,03. Sponsored Research - Entities Consolidated,212534,,,,,,,,,,
2017-2018,Université de Montréal,460,French, Quebec,02. Special Purpose and Trust,28233,,,,,,,,,,
2017-2018,Université de Montréal,460,French, Quebec,01. General operating,716120,,,,,,,,,,
2017-2018,Université de Moncton,334,French, New Brunswick,Total funds,161916,,,,,,,,,,
2017-2018,Université de Moncton,334,French, New Brunswick,08. Endowment,0,,,,,,,,,,
2017-2018,Université de Moncton,334,French, New Brunswick,07. Capital,14591,,,,,,,,,,
2017-2018,Université de Moncton,334,French, New Brunswick,06. Ancillary,6658,,,,,,,,,,
2017-2018,Université de Moncton,334,French, New Brunswick,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université de Moncton,334,French, New Brunswick,03. Sponsored Research - Entities Consolidated,11541,,,,,,,,,,
2017-2018,Université de Moncton,334,French, New Brunswick,02. Special Purpose and Trust,21294,,,,,,,,,,
2017-2018,Université de Moncton,334,French, New Brunswick,01. General operating,107832,,,,,,,,,,
2017-2018,Université TÉLUQ,492,French, Quebec,Total funds,59960,,,,,,,,,,
2017-2018,Université TÉLUQ,492,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université TÉLUQ,492,French, Quebec,07. Capital,1262,,,,,,,,,,
2017-2018,Université TÉLUQ,492,French, Quebec,06. Ancillary,1,,,,,,,,,,
2017-2018,Université TÉLUQ,492,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université TÉLUQ,492,French, Quebec,03. Sponsored Research - Entities Consolidated,2268,,,,,,,,,,
2017-2018,Université TÉLUQ,492,French, Quebec,02. Special Purpose and Trust,0,,,,,,,,,,
2017-2018,Université TÉLUQ,492,French, Quebec,01. General operating,56429,,,,,,,,,,
2017-2018,Université Sainte-Anne,272,French, Nova Scotia,Total funds,20390,,,,,,,,,,
2017-2018,Université Sainte-Anne,272,French, Nova Scotia,08. Endowment,0,,,,,,,,,,
2017-2018,Université Sainte-Anne,272,French, Nova Scotia,07. Capital,0,,,,,,,,,,
2017-2018,Université Sainte-Anne,272,French, Nova Scotia,06. Ancillary,2303,,,,,,,,,,
2017-2018,Université Sainte-Anne,272,French, Nova Scotia,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université Sainte-Anne,272,French, Nova Scotia,03. Sponsored Research - Entities Consolidated,572,,,,,,,,,,
2017-2018,Université Sainte-Anne,272,French, Nova Scotia,02. Special Purpose and Trust,34,,,,,,,,,,
2017-2018,Université Sainte-Anne,272,French, Nova Scotia,01. General operating,17481,,,,,,,,,,
2017-2018,Université Saint-Paul / Saint Paul,571,French, Ontario,Total funds,27633,,,,,,,,,,
2017-2018,Université Saint-Paul / Saint Paul,571,French, Ontario,08. Endowment,0,,,,,,,,,,
2017-2018,Université Saint-Paul / Saint Paul,571,French, Ontario,07. Capital,6391,,,,,,,,,,
2017-2018,Université Saint-Paul / Saint Paul,571,French, Ontario,06. Ancillary,2203,,,,,,,,,,
2017-2018,Université Saint-Paul / Saint Paul,571,French, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,Université Saint-Paul / Saint Paul,571,French, Ontario,03. Sponsored Research - Entities Consolidated,51,,,,,,,,,,
2017-2018,Université Saint-Paul / Saint Paul,571,French, Ontario,02. Special Purpose and Trust,418,,,,,,,,,,
2017-2018,Université Saint-Paul / Saint Paul,571,French, Ontario,01. General operating,18570,,,,,,,,,,
2017-2018,Université Laval,446,French, Quebec,Total funds,1090905,,,,,,,,,,
2017-2018,Université Laval,446,French, Quebec,08. Endowment,0,,,,,,,,,,
2017-2018,Université Laval,446,French, Quebec,07. Capital,113239,,,,,,,,,,
2017-2018,Université Laval,446,French, Quebec,06. Ancillary,13805,,,,,,,,,,
2017-2018,Université Laval,446,French, Quebec,04. Sponsored Research - Entities Not Consolidated,121748,,,,,,,,,,
2017-2018,Université Laval,446,French, Quebec,03. Sponsored Research - Entities Consolidated,268281,,,,,,,,,,
2017-2018,Université Laval,446,French, Quebec,02. Special Purpose and Trust,10178,,,,,,,,,,
2017-2018,Université Laval,446,French, Quebec,01. General operating,563654,,,,,,,,,,
2017-2018,University of the Fraser Valley,982,English, British Columbia,Total funds,125908,,,,,,,,,,
2017-2018,University of the Fraser Valley,982,English, British Columbia,08. Endowment,0,,,,,,,,,,
2017-2018,University of the Fraser Valley,982,English, British Columbia,07. Capital,10502,,,,,,,,,,
2017-2018,University of the Fraser Valley,982,English, British Columbia,06. Ancillary,5875,,,,,,,,,,
2017-2018,University of the Fraser Valley,982,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of the Fraser Valley,982,English, British Columbia,03. Sponsored Research - Entities Consolidated,1667,,,,,,,,,,
2017-2018,University of the Fraser Valley,982,English, British Columbia,02. Special Purpose and Trust,2370,,,,,,,,,,
2017-2018,University of the Fraser Valley,982,English, British Columbia,01. General operating,105494,,,,,,,,,,
2017-2018,University of Windsor,596,English, Ontario,Total funds,390812,,,,,,,,,,
2017-2018,University of Windsor,596,English, Ontario,08. Endowment,0,,,,,,,,,,
2017-2018,University of Windsor,596,English, Ontario,07. Capital,67111,,,,,,,,,,
2017-2018,University of Windsor,596,English, Ontario,06. Ancillary,17739,,,,,,,,,,
2017-2018,University of Windsor,596,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of Windsor,596,English, Ontario,03. Sponsored Research - Entities Consolidated,25761,,,,,,,,,,
2017-2018,University of Windsor,596,English, Ontario,02. Special Purpose and Trust,9100,,,,,,,,,,
2017-2018,University of Windsor,596,English, Ontario,01. General operating,271101,,,,,,,,,,
2017-2018,University of Waterloo,590,English, Ontario,Total funds,1058041,,,,,,,,,,
2017-2018,University of Waterloo,590,English, Ontario,08. Endowment,0,,,,,,,,,,
2017-2018,University of Waterloo,590,English, Ontario,07. Capital,61181,,,,,,,,,,
2017-2018,University of Waterloo,590,English, Ontario,06. Ancillary,74890,,,,,,,,,,
2017-2018,University of Waterloo,590,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of Waterloo,590,English, Ontario,03. Sponsored Research - Entities Consolidated,192184,,,,,,,,,,
2017-2018,University of Waterloo,590,English, Ontario,02. Special Purpose and Trust,22630,,,,,,,,,,
2017-2018,University of Waterloo,590,English, Ontario,01. General operating,707156,,,,,,,,,,
2017-2018,University of Victoria,986,English, British Columbia,Total funds,586742,,,,,,,,,,
2017-2018,University of Victoria,986,English, British Columbia,08. Endowment,0,,,,,,,,,,
2017-2018,University of Victoria,986,English, British Columbia,07. Capital,42403,,,,,,,,,,
2017-2018,University of Victoria,986,English, British Columbia,06. Ancillary,47545,,,,,,,,,,
2017-2018,University of Victoria,986,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of Victoria,986,English, British Columbia,03. Sponsored Research - Entities Consolidated,113564,,,,,,,,,,
2017-2018,University of Victoria,986,English, British Columbia,02. Special Purpose and Trust,23565,,,,,,,,,,
2017-2018,University of Victoria,986,English, British Columbia,01. General operating,359665,,,,,,,,,,
2017-2018,University of Trinity College,585,English, Ontario,Total funds,21315,,,,,,,,,,
2017-2018,University of Trinity College,585,English, Ontario,08. Endowment,0,,,,,,,,,,
2017-2018,University of Trinity College,585,English, Ontario,07. Capital,953,,,,,,,,,,
2017-2018,University of Trinity College,585,English, Ontario,06. Ancillary,6824,,,,,,,,,,
2017-2018,University of Trinity College,585,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of Trinity College,585,English, Ontario,03. Sponsored Research - Entities Consolidated,0,,,,,,,,,,
2017-2018,University of Trinity College,585,English, Ontario,02. Special Purpose and Trust,1670,,,,,,,,,,
2017-2018,University of Trinity College,585,English, Ontario,01. General operating,11868,,,,,,,,,,
2017-2018,University of Toronto,581,English, Ontario,Total funds,3981034,,,,,,,,,,
2017-2018,University of Toronto,581,English, Ontario,08. Endowment,0,,,,,,,,,,
2017-2018,University of Toronto,581,English, Ontario,07. Capital,351899,,,,,,,,,,
2017-2018,University of Toronto,581,English, Ontario,06. Ancillary,189924,,,,,,,,,,
2017-2018,University of Toronto,581,English, Ontario,04. Sponsored Research - Entities Not Consolidated,654087,,,,,,,,,,
2017-2018,University of Toronto,581,English, Ontario,03. Sponsored Research - Entities Consolidated,438395,,,,,,,,,,
2017-2018,University of Toronto,581,English, Ontario,02. Special Purpose and Trust,129077,,,,,,,,,,
2017-2018,University of Toronto,581,English, Ontario,01. General operating,2217652,,,,,,,,,,
2017-2018,University of St. Michael's College,569,English, Ontario,Total funds,23190,,,,,,,,,,
2017-2018,University of St. Michael's College,569,English, Ontario,08. Endowment,0,,,,,,,,,,
2017-2018,University of St. Michael's College,569,English, Ontario,07. Capital,202,,,,,,,,,,
2017-2018,University of St. Michael's College,569,English, Ontario,06. Ancillary,3823,,,,,,,,,,
2017-2018,University of St. Michael's College,569,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of St. Michael's College,569,English, Ontario,03. Sponsored Research - Entities Consolidated,97,,,,,,,,,,
2017-2018,University of St. Michael's College,569,English, Ontario,02. Special Purpose and Trust,4849,,,,,,,,,,
2017-2018,University of St. Michael's College,569,English, Ontario,01. General operating,14219,,,,,,,,,,
2017-2018,University of Regina,752,English, Saskatchewan,Total funds,339996,,,,,,,,,,
2017-2018,University of Regina,752,English, Saskatchewan,08. Endowment,0,,,,,,,,,,
2017-2018,University of Regina,752,English, Saskatchewan,07. Capital,81305,,,,,,,,,,
2017-2018,University of Regina,752,English, Saskatchewan,06. Ancillary,14740,,,,,,,,,,
2017-2018,University of Regina,752,English, Saskatchewan,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of Regina,752,English, Saskatchewan,03. Sponsored Research - Entities Consolidated,15707,,,,,,,,,,
2017-2018,University of Regina,752,English, Saskatchewan,02. Special Purpose and Trust,18836,,,,,,,,,,
2017-2018,University of Regina,752,English, Saskatchewan,01. General operating,209408,,,,,,,,,,
2017-2018,University of Prince Edward Island,184,English, Prince Edward Island,Total funds,134573,,,,,,,,,,
2017-2018,University of Prince Edward Island,184,English, Prince Edward Island,08. Endowment,0,,,,,,,,,,
2017-2018,University of Prince Edward Island,184,English, Prince Edward Island,07. Capital,8140,,,,,,,,,,
2017-2018,University of Prince Edward Island,184,English, Prince Edward Island,06. Ancillary,6684,,,,,,,,,,
2017-2018,University of Prince Edward Island,184,English, Prince Edward Island,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of Prince Edward Island,184,English, Prince Edward Island,03. Sponsored Research - Entities Consolidated,12199,,,,,,,,,,
2017-2018,University of Prince Edward Island,184,English, Prince Edward Island,02. Special Purpose and Trust,340,,,,,,,,,,
2017-2018,University of Prince Edward Island,184,English, Prince Edward Island,01. General operating,107210,,,,,,,,,,
2017-2018,University of Ottawa / Université d,555,English, Ontario,Total funds,1385729,,,,,,,,,,
2017-2018,University of Ottawa / Université d,555,English, Ontario,08. Endowment,0,,,,,,,,,,
2017-2018,University of Ottawa / Université d,555,English, Ontario,07. Capital,215108,,,,,,,,,,
2017-2018,University of Ottawa / Université d,555,English, Ontario,06. Ancillary,40179,,,,,,,,,,
2017-2018,University of Ottawa / Université d,555,English, Ontario,04. Sponsored Research - Entities Not Consolidated,168753,,,,,,,,,,
2017-2018,University of Ottawa / Université d,555,English, Ontario,03. Sponsored Research - Entities Consolidated,144834,,,,,,,,,,
2017-2018,University of Ottawa / Université d,555,English, Ontario,02. Special Purpose and Trust,34097,,,,,,,,,,
2017-2018,University of Ottawa / Université d,555,English, Ontario,01. General operating,782758,,,,,,,,,,
2017-2018,University of Ontario Institute of,553,English, Ontario,Total funds,197554,,,,,,,,,,
2017-2018,University of Ontario Institute of,553,English, Ontario,08. Endowment,0,,,,,,,,,,
2017-2018,University of Ontario Institute of,553,English, Ontario,07. Capital,25139,,,,,,,,,,
2017-2018,University of Ontario Institute of,553,English, Ontario,06. Ancillary,9261,,,,,,,,,,
2017-2018,University of Ontario Institute of,553,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of Ontario Institute of,553,English, Ontario,03. Sponsored Research - Entities Consolidated,9311,,,,,,,,,,
2017-2018,University of Ontario Institute of,553,English, Ontario,02. Special Purpose and Trust,0,,,,,,,,,,
2017-2018,University of Ontario Institute of,553,English, Ontario,01. General operating,153843,,,,,,,,,,
2017-2018,University of Northern British Colu,996,English, British Columbia,Total funds,113504,,,,,,,,,,
2017-2018,University of Northern British Colu,996,English, British Columbia,08. Endowment,0,,,,,,,,,,
2017-2018,University of Northern British Colu,996,English, British Columbia,07. Capital,7301,,,,,,,,,,
2017-2018,University of Northern British Colu,996,English, British Columbia,06. Ancillary,13823,,,,,,,,,,
2017-2018,University of Northern British Colu,996,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of Northern British Colu,996,English, British Columbia,03. Sponsored Research - Entities Consolidated,8277,,,,,,,,,,
2017-2018,University of Northern British Colu,996,English, British Columbia,02. Special Purpose and Trust,7105,,,,,,,,,,
2017-2018,University of Northern British Colu,996,English, British Columbia,01. General operating,76998,,,,,,,,,,
2017-2018,University of New Brunswick,352,English, New Brunswick,Total funds,329408,,,,,,,,,,
2017-2018,University of New Brunswick,352,English, New Brunswick,08. Endowment,0,,,,,,,,,,
2017-2018,University of New Brunswick,352,English, New Brunswick,07. Capital,21887,,,,,,,,,,
2017-2018,University of New Brunswick,352,English, New Brunswick,06. Ancillary,14475,,,,,,,,,,
2017-2018,University of New Brunswick,352,English, New Brunswick,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of New Brunswick,352,English, New Brunswick,03. Sponsored Research - Entities Consolidated,37892,,,,,,,,,,
2017-2018,University of New Brunswick,352,English, New Brunswick,02. Special Purpose and Trust,18247,,,,,,,,,,
2017-2018,University of New Brunswick,352,English, New Brunswick,01. General operating,236907,,,,,,,,,,
2017-2018,University of Manitoba,630,English, Manitoba,Total funds,881428,,,,,,,,,,
2017-2018,University of Manitoba,630,English, Manitoba,08. Endowment,0,,,,,,,,,,
2017-2018,University of Manitoba,630,English, Manitoba,07. Capital,69350,,,,,,,,,,
2017-2018,University of Manitoba,630,English, Manitoba,06. Ancillary,25292,,,,,,,,,,
2017-2018,University of Manitoba,630,English, Manitoba,04. Sponsored Research - Entities Not Consolidated,31147,,,,,,,,,,
2017-2018,University of Manitoba,630,English, Manitoba,03. Sponsored Research - Entities Consolidated,162513,,,,,,,,,,
2017-2018,University of Manitoba,630,English, Manitoba,02. Special Purpose and Trust,57476,,,,,,,,,,
2017-2018,University of Manitoba,630,English, Manitoba,01. General operating,535650,,,,,,,,,,
2017-2018,University of Lethbridge,858,English, Alberta,Total funds,328208,,,,,,,,,,
2017-2018,University of Lethbridge,858,English, Alberta,08. Endowment,0,,,,,,,,,,
2017-2018,University of Lethbridge,858,English, Alberta,07. Capital,127013,,,,,,,,,,
2017-2018,University of Lethbridge,858,English, Alberta,06. Ancillary,12265,,,,,,,,,,
2017-2018,University of Lethbridge,858,English, Alberta,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of Lethbridge,858,English, Alberta,03. Sponsored Research - Entities Consolidated,15864,,,,,,,,,,
2017-2018,University of Lethbridge,858,English, Alberta,02. Special Purpose and Trust,6863,,,,,,,,,,
2017-2018,University of Lethbridge,858,English, Alberta,01. General operating,166203,,,,,,,,,,
2017-2018,University of King's College,242,English, Nova Scotia,Total funds,21135,,,,,,,,,,
2017-2018,University of King's College,242,English, Nova Scotia,08. Endowment,0,,,,,,,,,,
2017-2018,University of King's College,242,English, Nova Scotia,07. Capital,0,,,,,,,,,,
2017-2018,University of King's College,242,English, Nova Scotia,06. Ancillary,1679,,,,,,,,,,
2017-2018,University of King's College,242,English, Nova Scotia,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of King's College,242,English, Nova Scotia,03. Sponsored Research - Entities Consolidated,123,,,,,,,,,,
2017-2018,University of King's College,242,English, Nova Scotia,02. Special Purpose and Trust,281,,,,,,,,,,
2017-2018,University of King's College,242,English, Nova Scotia,01. General operating,19052,,,,,,,,,,
2017-2018,University of Guelph,520,English, Ontario,Total funds,863299,,,,,,,,,,
2017-2018,University of Guelph,520,English, Ontario,08. Endowment,0,,,,,,,,,,
2017-2018,University of Guelph,520,English, Ontario,07. Capital,128776,,,,,,,,,,
2017-2018,University of Guelph,520,English, Ontario,06. Ancillary,64936,,,,,,,,,,
2017-2018,University of Guelph,520,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2017-2018,University of Guelph,520,English, Ontario,03. Sponsored Research - Entities Consolidated,152209,,,,,,,,,,
2017-2018,University of Guelph,520,English, Ontario,02. Special Purpose and Trust,44153,,,,,,,,,,
2017-2018,University of Guelph,520,English, Ontario,01. General operating,473225,,,,,,,,,,
2017-2018,University of Calgary,830,English, Alberta,Total funds,1497475,,,,,,,,,,
2017-2018,University of Calgary,830,English, Alberta,08. Endowment,0,,,,,,,,,,
2017-2018,University of Calgary,830,English, Alberta,07. Capital,145123,,,,,,,,,,
2017-2018,University of Calgary,830,English, Alberta,06. Ancillary,47001,,,,,,,,,,
2017-2018,University of Calgary,830,English, Alberta,04. Sponsored Research - Entities Not Consolidated,17370,,,,,,,,,,
2017-2018,University of Calgary,830,English, Alberta,03. Sponsored Research - Entities Consolidated,359361,,,,,,,,,,
2017-2018,University of Calgary,830,English, Alberta,02. Special Purpose and Trust,63582,,,,,,,,,,
2017-2018,University of Calgary,830,English, Alberta,01. General operating,865038,,,,,,,,,,
2017-2018,University of Alberta,804,English, Alberta,Total funds,1939170,,,,,,,,,,
2017-2018,University of Alberta,804,English, Alberta,08. Endowment,0,,,,,,,,,,
2017-2018,University of Alberta,804,English, Alberta,07. Capital,130106,,,,,,,,,,
2017-2018,University of Alberta,804,English, Alberta,06. Ancillary,82850,,,,,,,,,,
2017-2018,University of Alberta,804,English, Alberta,04. Sponsored Research - Entities Not Consolidated,29137,,,,,,,,,,
2017-2018,University of Alberta,804,English, Alberta,03. Sponsored Research - Entities Consolidated,414136,,,,,,,,,,
