Year,Institution_name,Institution code,Language,Province Name,Column name,Value,,,,,,,,,,
2022-2023,Vancouver Island University,980,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Vancouver Island University,980,English, British Columbia,03. Sponsored Research - Entities Consolidated,3917,,,,,,,,,,
2022-2023,Vancouver Island University,980,English, British Columbia,02. Special Purpose and Trust,5891,,,,,,,,,,
2022-2023,Vancouver Island University,980,English, British Columbia,01. General operating,153235,,,,,,,,,,
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,Total funds,284346,,,,,,,,,,
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,07. Capital,12862,,,,,,,,,,
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,06. Ancillary,2228,,,,,,,,,,
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,03. Sponsored Research - Entities Consolidated,47682,,,,,,,,,,
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,02. Special Purpose and Trust,0,,,,,,,,,,
2022-2023,Université du Québec à Trois-Rivièr,482,French, Quebec,01. General operating,221574,,,,,,,,,,
2022-2023,Université du Québec à Rimouski,476,French, Quebec,Total funds,143031,,,,,,,,,,
2022-2023,Université du Québec à Rimouski,476,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université du Québec à Rimouski,476,French, Quebec,07. Capital,9583,,,,,,,,,,
2022-2023,Université du Québec à Rimouski,476,French, Quebec,06. Ancillary,835,,,,,,,,,,
2022-2023,Université du Québec à Rimouski,476,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université du Québec à Rimouski,476,French, Quebec,03. Sponsored Research - Entities Consolidated,35215,,,,,,,,,,
2022-2023,Université du Québec à Rimouski,476,French, Quebec,02. Special Purpose and Trust,0,,,,,,,,,,
2022-2023,Université du Québec à Rimouski,476,French, Quebec,01. General operating,97398,,,,,,,,,,
2022-2023,Université du Québec à Montréal,473,French, Quebec,Total funds,588703,,,,,,,,,,
2022-2023,Université du Québec à Montréal,473,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université du Québec à Montréal,473,French, Quebec,07. Capital,17421,,,,,,,,,,
2022-2023,Université du Québec à Montréal,473,French, Quebec,06. Ancillary,9172,,,,,,,,,,
2022-2023,Université du Québec à Montréal,473,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université du Québec à Montréal,473,French, Quebec,03. Sponsored Research - Entities Consolidated,104934,,,,,,,,,,
2022-2023,Université du Québec à Montréal,473,French, Quebec,02. Special Purpose and Trust,0,,,,,,,,,,
2022-2023,Université du Québec à Montréal,473,French, Quebec,01. General operating,457176,,,,,,,,,,
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,Total funds,174298,,,,,,,,,,
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,07. Capital,13151,,,,,,,,,,
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,06. Ancillary,867,,,,,,,,,,
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,03. Sponsored Research - Entities Consolidated,32420,,,,,,,,,,
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,02. Special Purpose and Trust,424,,,,,,,,,,
2022-2023,Université du Québec à Chicoutimi,470,French, Quebec,01. General operating,127436,,,,,,,,,,
2022-2023,Université du Québec en Outaouais,471,French, Quebec,Total funds,124136,,,,,,,,,,
2022-2023,Université du Québec en Outaouais,471,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université du Québec en Outaouais,471,French, Quebec,07. Capital,5341,,,,,,,,,,
2022-2023,Université du Québec en Outaouais,471,French, Quebec,06. Ancillary,1484,,,,,,,,,,
2022-2023,Université du Québec en Outaouais,471,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université du Québec en Outaouais,471,French, Quebec,03. Sponsored Research - Entities Consolidated,13696,,,,,,,,,,
2022-2023,Université du Québec en Outaouais,471,French, Quebec,02. Special Purpose and Trust,5533,,,,,,,,,,
2022-2023,Université du Québec en Outaouais,471,French, Quebec,01. General operating,98082,,,,,,,,,,
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,Total funds,106939,,,,,,,,,,
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,07. Capital,8126,,,,,,,,,,
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,06. Ancillary,413,,,,,,,,,,
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,03. Sponsored Research - Entities Consolidated,23216,,,,,,,,,,
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,02. Special Purpose and Trust,3347,,,,,,,,,,
2022-2023,Université du Québec en Abitibi-Tém,465,French, Quebec,01. General operating,71837,,,,,,,,,,
2022-2023,Université du Québec (siège social),479,French, Quebec,Total funds,74175,,,,,,,,,,
2022-2023,Université du Québec (siège social),479,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université du Québec (siège social),479,French, Quebec,07. Capital,34773,,,,,,,,,,
2022-2023,Université du Québec (siège social),479,French, Quebec,06. Ancillary,8139,,,,,,,,,,
2022-2023,Université du Québec (siège social),479,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université du Québec (siège social),479,French, Quebec,03. Sponsored Research - Entities Consolidated,0,,,,,,,,,,
2022-2023,Université du Québec (siège social),479,French, Quebec,02. Special Purpose and Trust,5265,,,,,,,,,,
2022-2023,Université du Québec (siège social),479,French, Quebec,01. General operating,25998,,,,,,,,,,
2022-2023,Université de l'Ontario français,507,French, Ontario,Total funds,18894,,,,,,,,,,
2022-2023,Université de l'Ontario français,507,French, Ontario,08. Endowment,0,,,,,,,,,,
2022-2023,Université de l'Ontario français,507,French, Ontario,07. Capital,411,,,,,,,,,,
